name,algvisual
F2L01,U R U' R'
F2L02,F R' F' R
F2L03,F' U' F
F2L04,R U R'
F2L05,U' R U R' U2 R U' R'
F2L06,U' r U' R' U R U r'
F2L07,U' R U2' R' U2 R U' R'
F2L08,r' U2 R2 U R2' U r
F2L09,U' R U' R' U F' U' F
F2L10,U' R U R' U R U R'
F2L11,U' R U2 R' U F' U' F
F2L12,R' U2' R2 U R2' U R
F2L13,M' U' R U R' U2' R U' r'
F2L14,U' R U' R' U R U R'
F2L15,R' D' R U' R' D R U R U' R'
F2L16,R U' R' U2 F' U' F
F2L17,R U2 R' U' R U R'
F2L18,R' F R F' R U' R' U R U' R'
F2L19,U R U2 R' U R U' R'
F2L20,U' R U' R2' F R F' R U' R'
F2L21,R U' R' U2 R U R'
F2L22,r U' r' U2 r U r'
F2L23,U F R' F' R U R U R'
F2L24,F U R U' R' F' R U' R'
F2L25,U' R' F R F' R U R'
F2L26,U R U' R' F R' F' R
F2L27,R U' R' U R U' R'
F2L28,R U R' U' F R' F' R
F2L29,R' F R F' U R U' R'
F2L30,R U R' U' R U R'
F2L31,U' R' F R F' R U' R'
F2L32,U R U' R' U R U' R' U R U' R'
F2L33,U' R U' R' U2 R U' R'
F2L34,U R U R' U2 R U R'
F2L35,U' R U R' U F' U' F
F2L36,U F' U' F U' R U R'
F2L37,R2 U2 F R2 F' U2 R' U R'
F2L38,R U' R' U' R U R' U2 R U' R'
F2L39,R U' R' U R U2 R' U R U' R'
F2L40,r U' r' U2 r U r' R U R'
F2L41,R U' R' r U' r' U2 r U r'
